time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	0	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.573659	0.466768	4.29538	-2.46027e-17	-1.27384e-17	radar	44.7265	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.15251	0.492244	4.31207	-0.0610795	-0.00569019	lidar	0.00180026	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.33839	0.521583	4.49459	0.351256	0.0647602	radar	1.22056	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.57569	0.596075	4.58497	0.323251	0.055403	lidar	0.137332	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.8144	0.634279	5.15446	0.250767	0.0468236	radar	1.44037	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.10748	0.6408	5.25241	0.148144	0.0054146	lidar	0.17737	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.34448	0.672015	5.21922	0.145052	-0.00146734	radar	0.557743	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.61889	0.672912	5.26101	0.101509	-0.0484457	lidar	0.0366509	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.8799	0.694618	5.28149	0.0958789	-0.0465674	radar	0.0262703	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.10339	0.675237	5.21353	0.0550243	-0.136851	lidar	0.300823	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.36899	0.676795	5.24215	0.0374289	-0.15388	radar	0.245376	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.72333	0.430974	5.41563	-0.244868	-0.815135	lidar	1.04196	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	3.99899	0.413133	5.45948	-0.2029	-0.552531	radar	0.826414	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.27121	0.491925	5.43907	-0.0964289	-0.238972	lidar	0.178747	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.53503	0.467252	5.42722	-0.108447	-0.24398	radar	0.163358	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.68592	0.723845	5.15883	0.134533	0.287716	lidar	4.22631	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
