time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth	yaw_ground_truth	yawrate_ground_truth	px_estimate	py_estimate	vx_estimate	vy_estimate	yaw_estimate	yawrate_estimate
1477010443000000	0.312243	0.58034	0	0	0	lidar	0	0.312243	0.58034	0.6	0.6	5.19994	0	0	0.00691132	0.312243	0.58034	0	0	0	0
1477010443050000	0.573656	0.466764	4.29481	-2.15916e-17	-7.33674e-18	radar	44.7308	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686	0.000345566	0.0138215	0.573656	0.466764	4.29481	-9.27318e-17	-2.15916e-17	-7.33674e-18
1477010443100000	1.15251	0.492244	4.3115	-0.061075	-0.00570407	lidar	0.00180047	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996	0.00103664	0.0207296	1.15251	0.492244	4.30346	-0.263161	-0.061075	-0.00570407
1477010443150000	1.33839	0.521589	4.49394	0.351404	0.0651717	radar	1.22104	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781	0.00207312	0.0276344	1.33839	0.521589	4.21932	1.54689	0.351404	0.0651717
1477010443200000	1.57567	0.596074	4.58427	0.323321	0.0557178	lidar	0.137375	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597	0.00345484	0.0345348	1.57567	0.596074	4.34674	1.4565	0.323321	0.0557178
1477010443250000	1.81438	0.634272	5.15383	0.25078	0.0471185	radar	1.44361	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323	0.00518158	0.0414297	1.81438	0.634272	4.99261	1.27897	0.25078	0.0471185
1477010443300000	2.10743	0.640782	5.25176	0.148103	0.00526327	lidar	0.17759	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932	0.00725307	0.0483182	2.10743	0.640782	5.19427	0.774963	0.148103	0.00526327
1477010443350000	2.34444	0.672027	5.21913	0.145071	-0.001534	radar	0.557464	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389	0.00966898	0.0551989	2.34444	0.672027	5.1643	0.754489	0.145071	-0.001534
1477010443400000	2.61882	0.67289	5.26096	0.101403	-0.0492695	lidar	0.0367906	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654	0.0124289	0.062071	2.61882	0.67289	5.23393	0.532566	0.101403	-0.0492695
1477010443450000	2.87983	0.694605	5.2817	0.095821	-0.0469765	radar	0.0267322	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668	0.0155325	0.0689333	2.87983	0.694605	5.25747	0.505323	0.095821	-0.0469765
1477010443500000	3.1033	0.67515	5.21396	0.0546759	-0.138905	lidar	0.300118	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415	0.0189791	0.0757847	3.1033	0.67515	5.20617	0.284936	0.0546759	-0.138905
1477010443550000	3.3689	0.676657	5.24268	0.0370674	-0.155584	radar	0.246152	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818	0.0227684	0.0826241	3.3689	0.676657	5.23908	0.194288	0.0370674	-0.155584
1477010443600000	3.72319	0.430248	5.41615	-0.247423	-0.828037	lidar	1.04033	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576	0.0268996	0.0894504	3.72319	0.430248	5.25121	-1.32645	-0.247423	-0.828037
1477010443650000	3.99874	0.412953	5.45909	-0.203404	-0.554009	radar	0.837775	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724	0.0313721	0.0962627	3.99874	0.412953	5.34655	-1.10276	-0.203404	-0.554009
1477010443700000	4.27104	0.491968	5.43872	-0.0960673	-0.236022	lidar	0.178717	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614	0.0361852	0.10306	4.27104	0.491967	5.41364	-0.52168	-0.0960673	-0.236022
1477010443750000	4.53486	0.467409	5.42735	-0.107993	-0.241569	radar	0.162625	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238	0.0413382	0.10984	4.53486	0.467409	5.39573	-0.584978	-0.107993	-0.241569
1477010443800000	4.68604	0.724425	5.16094	0.136824	0.299486	lidar	4.22698	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587	0.0468302	0.116604	4.68604	0.724425	5.11271	0.703939	0.136824	0.299486
1477010443850000	4.93469	0.764071	5.14242	0.156613	0.311537	radar	0.490915	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649	0.0526604	0.123349	4.93469	0.764071	5.07948	0.802079	0.156613	0.311537
1477010443900000	5.27098	0.701345	5.28243	0.078081	0.124116	lidar	2.08055	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413	0.0588279	0.130074	5.27098	0.701345	5.26633	0.412038	0.078081	0.124116
1477010443950000	5.53107	0.720119	5.28755	0.0828413	0.122113	radar	0.443048	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868	0.0653316	0.136779	5.53107	0.720119	5.26941	0.437527	0.0828413	0.122113
1477010444000000	5.84706	0.714535	5.36619	0.0635206	0.0750991	lidar	1.03609	6.022	0.708619	5.78828	0.728072	5.15932	0.372999	0.0721706	0.143463	5.84706	0.714535	5.35537	0.340634	0.0635206	0.0750991
1477010444050000	6.09742	0.722603	5.33423	0.0592692	0.0585107	radar	0.911072	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793	0.0793437	0.150124	6.09742	0.722603	5.32486	0.31597	0.0592692	0.0585107
1477010444100000	6.34999	0.858951	5.32169	0.152467	0.212797	lidar	0.154464	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233	0.0868499	0.156761	6.34999	0.858951	5.25996	0.808245	0.152467	0.212797
1477010444150000	6.6044	0.901785	5.30704	0.164899	0.21613	radar	0.261898	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305	0.0946879	0.163373	6.6044	0.901785	5.23505	0.871163	0.164899	0.21613
1477010444200000	6.85535	0.823531	5.2857	0.0914058	0.0808995	lidar	0.458012	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999	0.102857	0.169959	6.85535	0.823531	5.26364	0.482472	0.0914058	0.0808995
1477010444250000	7.10731	0.843669	5.26185	0.091961	0.0736574	radar	1.31767	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269	0.111355	0.176519	7.10731	0.843669	5.23961	0.483203	0.091961	0.0736574
1477010444300000	7.31541	0.922933	5.20594	0.134389	0.133398	lidar	1.11468	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123	0.120181	0.183051	7.31541	0.922933	5.159	0.697516	0.134389	0.133398
1477010444350000	7.58597	0.957544	5.22634	0.139576	0.131087	radar	1.0404	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531	0.129333	0.189554	7.58597	0.957544	5.17551	0.727105	0.139576	0.131086
1477010444400000	7.84564	0.858357	5.21264	0.0610976	0.00348229	lidar	0.506928	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469	0.138811	0.196027	7.84564	0.858357	5.20291	0.318281	0.0610976	0.00348229
1477010444450000	8.10207	0.871232	5.20236	0.0584033	-0.00249936	radar	0.927437	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915	0.148612	0.202468	8.10207	0.871232	5.19349	0.303662	0.0584033	-0.00249936
1477010444500000	8.33959	0.867376	5.17785	0.0477587	-0.0183911	lidar	0.322582	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843	0.158735	0.208879	8.33959	0.867376	5.17195	0.247193	0.0477587	-0.0183911
1477010444550000	8.60267	0.886587	5.1906	0.0519912	-0.00895794	radar	0.735187	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226	0.169179	0.215255	8.60267	0.886586	5.18359	0.269744	0.0519912	-0.00895794
1477010444600000	8.83522	0.973054	5.1704	0.0959789	0.0567396	lidar	0.4043	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037	0.179942	0.221599	8.83522	0.973054	5.14661	0.495488	0.0959789	0.0567396
1477010444650000	9.10499	1.00057	5.18553	0.0998262	0.0584646	radar	2.1167	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245	0.191022	0.227907	9.10499	1.00057	5.15972	0.516793	0.0998262	0.0584646
1477010444700000	9.34155	1.03975	5.16614	0.111294	0.0711475	lidar	0.266411	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082	0.202417	0.234179	9.34155	1.03975	5.13418	0.573773	0.111294	0.0711475
1477010444750000	9.60771	1.07212	5.17904	0.116345	0.0733643	radar	1.14988	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873	0.214126	0.240414	9.60771	1.07212	5.14403	0.601197	0.116345	0.0733643
1477010444800000	9.88807	1.25544	5.21801	0.208809	0.207014	lidar	1.8796	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794	0.226147	0.246611	9.88807	1.25544	5.10467	1.08167	0.208809	0.207014
1477010444850000	10.1427	1.31664	5.21423	0.224004	0.216517	radar	1.17271	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841	0.238478	0.252769	10.1427	1.31664	5.08396	1.15826	0.224004	0.216517
1477010444900000	10.3661	1.41908	5.19161	0.262682	0.259735	lidar	0.520826	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701	0.251116	0.258887	10.3661	1.41908	5.01352	1.34811	0.262682	0.259735
1477010444950000	10.6109	1.49669	5.18146	0.28419	0.277517	radar	1.38397	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298	0.26406	0.264964	10.6109	1.49669	4.97363	1.45278	0.28419	0.277517
1477010445000000	10.8411	1.52422	5.15694	0.273169	0.24134	lidar	0.60002	10.7313	1.45265	10.853	1.56549	4.90794	1.39701	0.277309	0.271	10.8411	1.52422	4.96572	1.39126	0.273169	0.24134
1477010445050000	11.0942	1.59374	5.16297	0.283409	0.23773	radar	0.454603	11.4783	1.42876	11.0979	1.637	4.8844	1.46213	0.290859	0.276993	11.0942	1.59374	4.95701	1.44372	0.283409	0.23773
1477010445100000	11.388	1.62961	5.19885	0.266922	0.191771	lidar	1.4321	11.587	1.61462	11.3416	1.71179	4.85948	1.52832	0.304708	0.282942	11.388	1.62961	5.01475	1.37127	0.266922	0.191771
1477010445150000	11.6309	1.70187	5.19	0.280278	0.199924	radar	0.342115	11.4763	1.53917	11.584	1.78992	4.83313	1.59551	0.318855	0.288846	11.6309	1.70187	4.98748	1.43567	0.280278	0.199924
1477010445200000	11.8627	1.76832	5.17364	0.289165	0.199312	lidar	0.279755	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366	0.333298	0.294705	11.8627	1.76832	4.95884	1.47527	0.289165	0.199312
1477010445250000	12.1131	1.84165	5.1788	0.296809	0.194054	radar	0.137654	12.136	2.14937	12.0647	1.95639	4.77598	1.73273	0.348033	0.300517	12.1131	1.84165	4.95236	1.51464	0.296809	0.194054
1477010445300000	12.3619	1.86176	5.16627	0.273935	0.145069	lidar	0.227873	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265	0.363059	0.306282	12.3619	1.86176	4.97364	1.39759	0.273935	0.145069
1477010445350000	12.6116	1.92982	5.17015	0.278476	0.139246	radar	0.171987	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338	0.378373	0.311998	12.6116	1.92982	4.97097	1.42123	0.278476	0.139246
1477010445400000	12.799	2.0961	5.14187	0.349036	0.237604	lidar	1.61227	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485	0.393973	0.317665	12.799	2.0961	4.83183	1.75848	0.349036	0.237604
1477010445450000	13.0498	2.17878	5.15451	0.352476	0.219358	radar	0.814165	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701	0.409856	0.323282	13.0498	2.17878	4.83762	1.77946	0.352476	0.219358
1477010445500000	13.2429	2.34385	5.13478	0.41428	0.297937	lidar	0.91443	13.0875	2.40708	13.2388	2.43409	4.605	2.08981	0.42602	0.328848	13.243	2.34385	4.70041	2.06691	0.41428	0.297937
1477010445550000	13.4589	2.46124	5.11824	0.443789	0.327707	radar	1.95215	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317	0.442462	0.334362	13.4589	2.46124	4.62245	2.19759	0.443789	0.327707
1477010445600000	13.7112	2.5819	5.14169	0.460272	0.325856	lidar	0.650483	13.836	2.62479	13.6955	2.65053	4.52448	2.23703	0.459181	0.339823	13.7112	2.5819	4.6066	2.28389	0.460272	0.325856
1477010445650000	13.936	2.70069	5.13826	0.480282	0.333596	radar	0.0716441	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134	0.476172	0.34523	13.936	2.70069	4.55695	2.37403	0.480282	0.333596
1477010445700000	14.16	2.86587	5.15381	0.52151	0.369243	lidar	0.276255	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601	0.493433	0.350583	14.16	2.86587	4.4687	2.56758	0.52151	0.369243
1477010445750000	14.3929	2.98458	5.16271	0.526481	0.340825	radar	0.516101	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099	0.510962	0.355881	14.3929	2.98458	4.46358	2.59423	0.526481	0.340825
1477010445800000	14.6047	3.04851	5.12611	0.511335	0.296258	lidar	1.44416	14.4616	2.90734	14.583	3.12802	4.34097	2.5362	0.528756	0.361122	14.6047	3.04851	4.47044	2.50842	0.511335	0.296258
1477010445850000	14.8338	3.16913	5.13252	0.5177	0.277649	radar	0.375749	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157	0.546812	0.366307	14.8338	3.16913	4.45995	2.53999	0.5177	0.277649
1477010445900000	15.0271	3.38187	5.14805	0.582691	0.353372	lidar	0.4217	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703	0.565128	0.371433	15.0271	3.38187	4.29855	2.83283	0.582691	0.353372
1477010445950000	15.2407	3.52836	5.14914	0.603351	0.360164	radar	0.336431	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249	0.583699	0.376501	15.2407	3.52836	4.24	2.92165	0.603351	0.360164
1477010446000000	15.449	3.72564	5.17262	0.646326	0.395273	lidar	0.568395	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789	0.602525	0.381509	15.449	3.72564	4.12931	3.11525	0.646326	0.395273
1477010446050000	15.6555	3.87982	5.17346	0.662629	0.38801	radar	0.0552766	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315	0.6216	0.386458	15.6555	3.87982	4.07864	3.18267	0.662629	0.38801
1477010446100000	15.8883	4.01219	5.18243	0.658322	0.351268	lidar	0.268298	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817	0.640923	0.391345	15.8883	4.01219	4.0994	3.17056	0.658322	0.351268
1477010446150000	16.0857	4.17994	5.18003	0.685816	0.373588	radar	0.493361	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629	0.66049	0.39617	16.0857	4.17994	4.00884	3.28054	0.685816	0.373588
1477010446200000	16.2829	4.37474	5.19614	0.71821	0.392329	lidar	0.258307	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723	0.680299	0.400933	16.2829	4.37474	3.91262	3.41926	0.71821	0.392329
1477010446250000	16.484	4.54297	5.2002	0.731578	0.379867	radar	0.243347	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109	0.700345	0.405632	16.484	4.54297	3.86958	3.47397	0.731578	0.379867
1477010446300000	16.6636	4.71146	5.18793	0.752006	0.383477	lidar	0.187831	16.6039	4.67344	16.613	4.5849	3.74	3.28438	0.720627	0.410268	16.6636	4.71146	3.78885	3.5439	0.752006	0.383477
1477010446350000	16.8295	4.90912	5.17979	0.798055	0.44231	radar	1.35126	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704	0.74114	0.414838	16.8295	4.90912	3.61602	3.70873	0.798055	0.44231
1477010446400000	16.9905	5.13491	5.19297	0.842872	0.474721	lidar	0.178382	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897	0.761882	0.419343	16.9905	5.13491	3.45499	3.87685	0.842872	0.474721
1477010446450000	17.155	5.33396	5.19092	0.872802	0.488446	radar	0.108924	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008	0.782849	0.423782	17.155	5.33396	3.33611	3.97693	0.872802	0.488446
1477010446500000	17.3233	5.50738	5.17555	0.885111	0.472503	lidar	0.223595	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028	0.804038	0.428154	17.3233	5.50738	3.27718	4.0058	0.885111	0.472503
1477010446550000	17.4736	5.71496	5.17166	0.919498	0.495841	radar	0.274646	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949	0.825446	0.432459	17.4736	5.71496	3.13516	4.11301	0.919498	0.495841
1477010446600000	17.7044	5.8163	5.14351	0.87355	0.394688	lidar	1.20391	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762	0.847069	0.436695	17.7044	5.8163	3.3027	3.94309	0.87355	0.394688
1477010446650000	17.8497	6.02603	5.13851	0.913101	0.438632	radar	0.636611	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458	0.868904	0.440862	17.8497	6.02603	3.14114	4.06663	0.913101	0.438632
1477010446700000	18.0442	6.19883	5.13883	0.906535	0.396153	lidar	0.220477	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027	0.890947	0.444959	18.0442	6.19883	3.16797	4.04617	0.906535	0.396153
1477010446750000	18.1934	6.40684	5.1373	0.93433	0.413962	radar	0.12526	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462	0.913195	0.448987	18.1934	6.40684	3.05339	4.13142	0.93433	0.413962
1477010446800000	18.303	6.64221	5.1355	0.982281	0.454728	lidar	0.236019	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753	0.935644	0.452943	18.303	6.64221	2.85085	4.27153	0.982281	0.454728
1477010446850000	18.4339	6.86209	5.13364	1.01476	0.476255	radar	0.120943	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289	0.958291	0.456828	18.4339	6.86209	2.70964	4.36029	1.01477	0.476255
1477010446900000	18.5959	6.99912	5.08479	0.999627	0.424278	lidar	2.09018	18.5422	6.76013	18.572	6.80638	2.7356	4.08867	0.981133	0.46064	18.5959	6.99912	2.74892	4.27768	0.999627	0.424278
