time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	-0.0659	2.8897	0	0	0	lidar	0	-0.0659	2.8897	0	2.75	0	1
1477010443400000	0.0947732	2.63345	-0.00631725	3.75951e-17	1.54279e-17	radar	4.50495	0.103258	2.67401	-0.022	3.0991	-0.1097	0.994
1477010443800000	-0.0229341	3.39238	-0.116124	-0.00533411	-0.00273139	lidar	0.0161294	-0.0287	3.4592	-0.0938	3.4924	-0.2334	0.9724
1477010444200000	-0.135182	3.43392	-0.29026	-0.318354	-0.241767	radar	7.16476	-0.254806	3.98817	-0.2143	3.8735	-0.3535	0.9354
1477010444600000	-0.307853	3.92139	-0.544567	-0.735702	-0.827813	lidar	2.58233	-0.256	4.2777	-0.3817	4.2365	-0.4679	0.8838
1477010445000000	-0.486975	4.148	-0.699069	-1.20783	-0.876064	radar	2.54151	-0.59688	4.90864	-0.5932	4.5757	-0.575	0.8181
1477010445400000	-0.734219	4.46844	-0.912517	-1.24158	-0.907444	lidar	0.0273829	-0.7696	4.5192	-0.8456	4.8857	-0.673	0.7396
1477010445800000	-0.758735	4.66925	-0.874313	-1.61671	-0.933089	radar	1.0046	-1.08744	5.05966	-1.1348	5.1616	-0.7604	0.6494
1477010446200000	-1.43085	5.13807	-1.08784	-0.594967	-0.669084	lidar	0.0865647	-1.4941	5.2241	-1.4564	5.3991	-0.8358	0.549
1477010446600000	-1.66842	5.35025	-1.05687	-0.868479	-0.662178	radar	0.25637	-1.40646	5.19073	-1.8051	5.5945	-0.898	0.4399
1477010447000000	-1.89833	5.93581	-1.42399	-1.35458	-0.851931	lidar	0.130054	-1.9486	6.0351	-2.1756	5.7445	-0.9461	0.3239
1477010447400000	-1.86316	6.34056	-1.31369	-1.80006	-0.953148	radar	0.626444	-2.25809	6.03381	-2.562	5.847	-0.9792	0.2028
1477010447800000	-2.88829	6.14987	-0.679644	-0.784419	-0.158254	lidar	0.266673	-2.9673	5.9902	-2.9582	5.9002	-0.9969	0.0785
1477010448200000	-3.05946	6.34729	-0.73507	-0.876851	-0.177874	radar	0.636318	-3.17888	5.96117	-3.3579	5.9033	-0.9989	-0.0471
1477010448600000	-3.76076	6.01043	-0.502653	0.159214	0.402462	lidar	0.448065	-3.8927	5.842	-3.7549	5.8563	-0.9851	-0.1719
1477010449000000	-3.91933	5.95556	-0.4936	0.272427	0.373177	radar	2.13758	-3.82756	5.25949	-4.1429	5.76	-0.9558	-0.294
1477010449400000	-4.32756	5.63198	-0.756863	0.88403	0.581961	lidar	0.269674	-4.3859	5.5043	-4.5157	5.6157	-0.9114	-0.4115
1477010449800000	-4.48513	5.3746	-0.789612	1.17883	0.616311	radar	0.37783	-4.64441	5.47832	-4.8675	5.4259	-0.8526	-0.5225
1477010450200000	-4.98421	5.26405	-0.887825	0.768185	0.348239	lidar	0.190053	-5.0989	5.3338	-5.1927	5.1935	-0.7804	-0.6252
1477010450600000	-5.30406	5.0742	-0.900347	0.727788	0.259376	radar	0.99434	-5.67095	4.93474	-5.4863	4.9222	-0.6959	-0.7181
1477010451000000	-5.62315	4.69555	-1.05412	0.87356	0.280594	lidar	0.0120913	-5.6382	4.6611	-5.7435	4.6162	-0.6004	-0.7997
1477010451400000	-5.86914	4.36843	-1.05409	0.977222	0.272134	radar	0.0617754	-5.80312	4.3008	-5.9603	4.2804	-0.4955	-0.8686
1477010451800000	-6.13931	4.10891	-1.018	0.9875	0.226908	lidar	0.00869567	-6.1581	4.1323	-6.1333	3.92	-0.3827	-0.9239
1477010452200000	-6.28456	3.74005	-1.01142	1.17694	0.296686	radar	0.655175	-6.19634	3.79724	-6.2599	3.5408	-0.2639	-0.9646
1477010452600000	-6.2911	3.05668	-1.23673	1.54329	0.41846	lidar	0.0864017	-6.2443	2.9757	-6.3378	3.1487	-0.1409	-0.99
1477010453000000	-6.35381	2.61664	-1.18596	1.59133	0.341745	radar	0.792071	-6.65326	2.72003	-6.3661	2.75	-0.0157	-0.9999
1477010453400000	-6.30144	2.35101	-0.996525	1.73814	0.350672	lidar	0.0193231	-6.3027	2.3977	-6.3441	2.3509	0.1097	-0.994
1477010453800000	-6.19387	1.96397	-1.01489	1.89816	0.363595	radar	0.0439295	-6.1434	1.89898	-6.2723	1.9576	0.2334	-0.9724
1477010454200000	-6.12846	1.57131	-1.02347	1.95673	0.319714	lidar	0.00832417	-6.1556	1.5653	-6.1518	1.5765	0.3535	-0.9355
1477010454600000	-5.97228	1.20262	-1.04758	2.07561	0.321619	radar	0.684905	-6.37703	0.991159	-5.9844	1.2135	0.4679	-0.8838
1477010455000000	-5.80941	0.891676	-0.998076	2.17336	0.306401	lidar	0.00351173	-5.8258	0.8996	-5.7729	0.8743	0.575	-0.8182
1477010455400000	-5.6125	0.584244	-0.946117	2.24638	0.273015	radar	0.310251	-5.67524	0.388182	-5.5205	0.5643	0.673	-0.7396
1477010455800000	-5.16057	0.531257	-0.899521	2.66374	0.425844	lidar	0.0812825	-5.0894	0.5849	-5.2312	0.2884	0.7604	-0.6495
1477010456200000	-4.86818	0.40014	-0.850684	2.81618	0.415256	radar	0.125783	-4.97899	0.303059	-4.9097	0.0509	0.8358	-0.549
1477010456600000	-4.49664	0.10845	-0.994803	2.79667	0.32043	lidar	0.0440839	-4.4786	0.0454	-4.5609	-0.1444	0.898	-0.44
1477010457000000	-4.11166	2.02477	-0.233168	5.20047	1.51584	radar	1196.7	-4.48563	-0.195664	-4.1904	-0.2945	0.9461	-0.3239
1477010457400000	-4.01199	0.590296	0.209122	3.84841	0.676633	lidar	23.2383	-3.6616	-0.4481	-3.804	-0.397	0.9792	-0.2028
1477010457800000	-3.38278	1.74112	-1.943	4.49766	0.770398	radar	1137.85	-3.80724	-0.574212	-3.4079	-0.4502	0.9969	-0.0785
1477010458200000	-3.32236	0.227527	0.548525	3.7889	0.310218	lidar	5.3804	-3.1761	-0.4559	-3.0081	-0.4533	0.9989	0.0471
1477010458600000	-3.41272	0.18043	0.327472	3.98975	0.359111	radar	5.57548	-3.10464	-0.501001	-2.6112	-0.4063	0.9851	0.1719
1477010459000000	-3.10694	0.0204184	0.0253438	4.36513	0.573793	lidar	21.2347	-2.4246	-0.44	-2.2232	-0.31	0.9558	0.294
1477010459400000	-3.06304	0.0729508	-0.0740166	4.62895	0.592704	radar	5.58694	-2.12368	-0.244429	-1.8504	-0.1657	0.9114	0.4115
1477010459800000	-2.64916	0.250702	-0.0968091	4.84672	0.640993	lidar	41.5795	-1.5542	0.0293	-1.4986	0.0241	0.8527	0.5225
1477010460200000	-2.62245	0.199622	0.0578355	4.98576	0.601226	radar	7.86503	-1.25886	0.305519	-1.1734	0.2565	0.7804	0.6252
1477010460600000	-2.1869	0.197362	0.40076	4.92629	0.547796	lidar	51.3839	-0.9608	0.4199	-0.8798	0.5278	0.6959	0.7181
1477010461000000	-2.10461	0.0398381	0.457552	5.26066	0.585955	radar	7.22637	-0.53481	0.784919	-0.6226	0.8338	0.6004	0.7997
1477010461400000	-1.06328	0.830486	0.348011	9.91477	1.89405	lidar	4.19519	-0.5674	1.0675	-0.4058	1.1697	0.4955	0.8686
1477010461800000	-0.972098	1.08937	-0.159135	11.0674	1.98443	radar	15.4498	-0.320929	1.75266	-0.2327	1.53	0.3827	0.9239
